Var1,Var2
473,0.00152
474,0.00201
475,0.00214
476,0.00443
477,0.00385
478,0.0019
479,0.00186
480,0.00325
481,0.00274
482,0.00082181
483,0.00035289
484,0.00024512
485,0.00023628
486,0.00040511
487,0.00134
488,0.00153
489,0.00025787
490,0.00012927
491,7.5404e-05
492,7.0616e-05
493,7.5443e-05
494,0.00011533
495,0.00024627
496,0.00081003
497,0.00295
498,0.00162
499,0.00094153
500,0.00096681
501,0.00151
502,0.0032
503,0.00583
504,0.00738
505,0.01082
506,0.00583
507,0.00133
508,0.0005723
509,0.00033176
510,0.00026499
511,0.0002914
512,0.00048087
513,0.00131
514,0.00167
515,0.00040437
516,0.00011523
517,7.7388e-05
518,7.4045e-05
519,9.2984e-05
520,0.00016975
521,0.00049649
522,0.00077585
523,0.0002687
524,0.00012604
525,8.1695e-05
526,8.6626e-05
527,0.00011604
528,0.00020645
529,0.00061178
530,0.00234
531,0.00106
532,0.00044385
533,0.00031122
534,0.00030303
535,0.00039465
536,0.00062522
537,0.00118
538,0.0024
539,0.00578
540,0.00802
541,0.00219
542,0.00073555
543,0.00036924
544,0.00026302
545,0.00024592
546,0.00032684
547,0.00067371
548,0.00191
549,0.00083911
550,0.0002616
551,0.00013559
552,0.00010062
553,0.00010171
554,0.00015351
555,0.00040261
556,0.00147
557,0.00039293
558,0.00013025
559,7.8511e-05
560,6.9677e-05
561,9.5004e-05
562,0.00025638
563,0.00196
564,0.00021647
565,5.8015e-05
566,3.7228e-05
567,4.4844e-05
568,0.00015923
569,0.00046059
570,1.5011e-05
571,4.4035e-06
572,1.4964e-06
573,7.9426e-07
574,3.4941e-07
575,2.7995e-07
576,7.4292e-08
577,4.4394e-08
578,2.7714e-08
579,1.8486e-08
580,1.2375e-08
581,1.2375e-08
582,1.2375e-08
583,2.8703e-08
584,1.8563e-08
585,1.2375e-08
586,3.8354e-08
587,1.2375e-08
588,1.2652e-08
589,1.2375e-08
590,2.1584e-08
591,2.0104e-08
592,3.473e-08
593,1.2375e-08
594,1.2375e-08
595,1.7309e-08
596,1.2375e-08
597,1.2375e-08
598,2.5874e-08
599,4.1072e-08
600,2.4953e-08
601,4.4998e-08
602,3.0131e-08
603,9.2817e-09
604,1.4764e-08
605,1.2375e-08
606,3.2616e-08
607,2.0764e-08
608,1.8563e-08
609,1.6512e-08
610,1.2375e-08
611,1.5149e-08
612,1.1144e-07
613,1.2375e-08
614,1.2375e-08
615,5.5266e-08
616,3.0066e-08
617,3.2918e-08
618,3.7448e-08
619,1.2375e-08
620,2.2712e-08
621,2.5269e-08
622,2.2762e-08
623,1.2375e-08
624,2.4711e-08
625,2.9675e-08
626,1.5223e-08
627,2.5525e-08
628,6.1306e-08
629,1.6835e-08
630,1.2375e-08
631,2.4751e-08
632,2.4494e-08
633,1.2375e-08
634,1.3486e-08
635,1.6953e-08
636,2.8148e-08
637,1.2375e-08
638,4.7414e-08
639,4.7414e-08
