Var1,Var2
749,8.8982e-07
750,9.8665e-07
751,1.094e-06
752,1.0593e-06
753,9.6837e-07
754,8.8523e-07
755,8.0924e-07
756,7.9553e-07
757,7.8826e-07
758,7.8106e-07
759,7.7392e-07
